Title,Price,Date
"Sceptre 32-inch Curved Gaming Monitor Overdrive up to 240Hz DisplayPort 165Hz 144Hz HDMI AMD FreeSync Build-in Speakers, Machine Black (C325B-185RD)",179.97,2025-02-26
"Sceptre 32-inch Curved Gaming Monitor Overdrive up to 240Hz DisplayPort 165Hz 144Hz HDMI AMD FreeSync Build-in Speakers, Machine Black (C325B-185RD)",179.97,2025-02-26
"Sceptre 32-inch Curved Gaming Monitor Overdrive up to 240Hz DisplayPort 165Hz 144Hz HDMI AMD FreeSync Build-in Speakers, Machine Black (C325B-185RD)",179.97,2025-02-26
"Sceptre 32-inch Curved Gaming Monitor Overdrive up to 240Hz DisplayPort 165Hz 144Hz HDMI AMD FreeSync Build-in Speakers, Machine Black (C325B-185RD)",179.97,2025-02-26
"Sceptre 32-inch Curved Gaming Monitor Overdrive up to 240Hz DisplayPort 165Hz 144Hz HDMI AMD FreeSync Build-in Speakers, Machine Black (C325B-185RD)",179.97,2025-02-26
"Sceptre 32-inch Curved Gaming Monitor Overdrive up to 240Hz DisplayPort 165Hz 144Hz HDMI AMD FreeSync Build-in Speakers, Machine Black (C325B-185RD)",179.97,2025-02-26
